iter	Passed	Remaining
157	363	1939
158	365	1932
159	366	1924
160	367	1914
161	368	1907
162	369	1899
163	371	1893
164	373	1889
165	375	1884
166	376	1878
167	378	1873
168	379	1867
169	381	1862
170	383	1856
171	384	1850
172	385	1843
173	387	1840
174	389	1835
175	390	1828
176	391	1822
177	393	1815
178	394	1808
179	395	1802
180	396	1796
181	398	1789
182	399	1783
183	401	1778
184	402	1774
185	404	1769
186	405	1763
187	406	1757
188	408	1751
189	409	1745
190	410	1740
191	412	1734
192	413	1728
193	414	1722
194	416	1718
195	418	1714
196	419	1709
197	420	1703
198	421	1698
199	423	1692
200	424	1687
201	425	1681
202	426	1676
203	428	1670
204	429	1666
205	431	1663
206	433	1658
207	434	1654
208	435	1649
209	437	1644
210	438	1638
211	439	1633
212	440	1628
213	442	1623
214	443	1619
215	444	1614
216	446	1611
217	447	1607
218	449	1602
219	450	1597
220	451	1592
221	453	1587
222	454	1583
223	455	1578
224	456	1573
225	458	1569
226	459	1565
227	461	1562
228	463	1559
229	464	1556
230	466	1552
231	467	1548
232	469	1544
233	470	1539
234	471	1535
235	473	1531
236	474	1527
237	475	1523
238	477	1520
239	478	1516
240	480	1512
241	481	1508
242	482	1503
243	484	1499
244	485	1495
245	486	1491
246	488	1487
247	489	1483
248	491	1480
249	492	1477
250	493	1473
251	495	1469
252	496	1465
253	497	1461
254	498	1457
255	500	1454
256	502	1451
257	503	1447
258	504	1443
259	506	1441
260	507	1438
261	509	1434
262	510	1430
263	511	1426
264	513	1423
265	514	1419
266	515	1415
267	516	1411
268	518	1407
269	519	1404
270	521	1402
271	522	1399
272	524	1395
273	525	1391
274	526	1388
275	527	1384
276	529	1381
277	530	1377
278	531	1374
279	533	1370
280	534	1367
281	536	1365
282	537	1362
283	539	1359
284	540	1356
285	542	1353
286	543	1350
287	544	1346
288	546	1343
289	547	1340
290	548	1336
291	550	1333
292	551	1331
293	553	1328
294	554	1325
295	555	1321
296	557	1319
297	558	1315
298	559	1312
299	561	1309
300	562	1306
301	563	1302
302	565	1300
303	567	1298
304	568	1295
305	570	1293
306	571	1290
307	573	1287
308	574	1284
309	575	1281
310	576	1278
311	578	1274
312	579	1271
313	581	1269
314	582	1267
315	584	1264
316	585	1261
317	586	1258
318	588	1255
319	589	1252
320	590	1249
321	591	1246
322	593	1243
323	594	1240
324	596	1238
325	597	1235
326	599	1233
327	600	1230
328	601	1227
329	602	1224
330	604	1221
331	605	1218
332	606	1215
333	608	1212
334	609	1209
335	611	1207
336	612	1205
337	613	1202
338	615	1199
339	616	1196
340	617	1193
341	618	1190
342	620	1187
343	621	1184
344	622	1182
345	624	1179
346	626	1178
347	627	1175
348	628	1172
349	630	1170
350	631	1167
351	632	1164
352	633	1161
353	634	1158
354	636	1155
355	637	1153
356	639	1151
357	641	1149
358	642	1147
359	643	1144
360	645	1141
361	646	1139
362	647	1136
363	648	1133
364	650	1131
365	651	1128
366	652	1126
367	654	1124
368	656	1122
369	658	1120
370	659	1118
371	661	1116
372	662	1113
373	663	1110
374	665	1108
375	666	1105
376	667	1103
377	669	1101
378	671	1099
379	672	1097
380	673	1094
381	675	1092
382	676	1089
383	677	1087
384	679	1085
385	680	1082
386	681	1080
387	683	1078
388	685	1076
389	686	1074
390	688	1071
391	689	1069
392	690	1066
393	691	1064
394	693	1061
395	694	1059
396	695	1056
397	697	1054
398	698	1051
399	700	1050
400	701	1048
401	703	1046
402	704	1044
403	706	1041
404	707	1039
405	708	1036
406	709	1034
407	711	1031
408	712	1029
409	713	1027
410	715	1025
411	717	1023
412	718	1021
413	719	1019
414	721	1016
415	722	1014
416	723	1011
417	725	1009
418	726	1007
419	727	1004
420	729	1003
421	731	1001
422	732	999
423	734	997
424	735	995
425	737	993
426	738	991
427	740	989
428	741	986
429	742	984
430	744	983
431	746	981
432	747	979
433	749	977
434	750	975
435	752	973
436	753	970
437	754	968
438	756	966
439	757	963
440	759	962
441	761	961
442	762	959
443	764	957
444	765	954
445	766	952
446	768	950
447	769	947
448	770	945
449	771	943
450	773	941
451	774	939
452	776	937
453	777	935
454	778	933
455	780	930
456	781	928
457	782	926
458	784	924
459	785	922
460	786	919
